#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68A76
#Date Time: 2019-03-19 09:03:45.091
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 300 mV
#Channel 2: Range: 2 V/div Offset: -4 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.000884,-0.0620064,3.45579
-0.00088375,-0.0653028,3.45911
-0.0008835,-0.0620064,3.46242
-0.00088325,-0.05871,3.47237
-0.000883,-0.0620064,3.479
-0.00088275,-0.0554136,3.48563
-0.0008825,-0.0554136,3.48894
-0.00088225,-0.05871,3.5022
-0.000882,-0.0620064,3.50552
-0.00088175,-0.05871,3.52209
-0.0008815,-0.05871,3.53204
-0.00088125,-0.0620064,3.54198
-0.000881,-0.0620064,3.55193
-0.00088075,-0.05871,3.55524
-0.0008805,-0.05871,3.55856
-0.00088025,-0.05871,3.56187
-0.00088,-0.0653028,3.5685
-0.00087975,-0.0653028,3.57182
-0.0008795,-0.0685992,3.57845
-0.00087925,-0.0653028,3.58508
-0.000879,-0.0653028,3.58176
-0.00087875,-0.0685992,3.58839
-0.0008785,-0.05871,3.59834
-0.00087825,-0.05871,3.60496
-0.000878,-0.0620064,3.60496
-0.00087775,-0.0653028,3.60496
-0.0008775,-0.0620064,3.60828
-0.00087725,-0.0554136,3.61822
-0.000877,-0.0620064,3.62154
-0.00087675,-0.05871,3.63148
-0.0008765,-0.05871,3.64143
-0.00087625,-0.0620064,3.64806
-0.000876,-0.0554136,3.65137
-0.00087575,-0.05871,3.65469
-0.0008755,-0.05871,3.66132
-0.00087525,-0.0620064,3.66463
-0.000875,-0.05871,3.66463
-0.00087475,-0.05871,3.66795
-0.0008745,-0.05871,3.67126
-0.00087425,-0.05871,3.68121
-0.000874,-0.05871,3.68452
-0.00087375,-0.05871,3.68784
-0.0008735,-0.0653028,3.69447
-0.00087325,-0.05871,3.7011
-0.000873,-0.0653028,3.71104
-0.00087275,-0.0718956,3.7243
-0.0008725,-0.0685992,3.72762
-0.00087225,-0.0653028,3.73425
-0.000872,-0.0620064,3.73756
-0.00087175,-0.0653028,3.73756
-0.0008715,-0.0620064,3.74419
-0.00087125,-0.05871,3.74751
-0.000871,-0.0620064,3.75745
-0.00087075,-0.05871,3.76077
-0.0008705,-0.0620064,3.7674
-0.00087025,-0.05871,3.77071
-0.00087,-0.0653028,3.78066
-0.00086975,-0.0653028,3.78729
-0.0008695,-0.0620064,3.7906
-0.00086925,-0.0685992,3.79723
-0.000869,-0.0718956,3.80718
-0.00086875,-0.0685992,3.81712
-0.0008685,-0.0653028,3.82044
-0.00086825,-0.0685992,3.8337
-0.000868,-0.0685992,3.83701
-0.00086775,-0.0620064,3.84695
-0.0008675,-0.0653028,3.85027
-0.00086725,-0.0685992,3.85358
-0.000867,-0.0653028,3.8569
-0.00086675,-0.0620064,3.86021
-0.0008665,-0.0653028,3.86684
-0.00086625,-0.0620064,3.86353
-0.000866,-0.0685992,3.86684
-0.00086575,-0.0685992,3.87347
-0.0008655,-0.0685992,3.87679
-0.00086525,-0.0653028,3.8801
-0.000865,-0.0685992,3.89005
-0.00086475,-0.0653028,3.89336
-0.0008645,-0.0653028,3.89999
-0.00086425,-0.0685992,3.90994
-0.000864,-0.0685992,3.91657
-0.00086375,-0.0685992,3.92651
-0.0008635,-0.0685992,3.93314
-0.00086325,-0.0685992,3.92983
-0.000863,-0.0685992,3.93977
-0.00086275,-0.0653028,3.93977
-0.0008625,-0.0685992,3.93977
-0.00086225,-0.0653028,3.94309
-0.000862,-0.0685992,3.94309
-0.00086175,-0.0653028,3.9464
-0.0008615,-0.0653028,3.94972
-0.00086125,-0.0685992,3.95303
-0.000861,-0.0718956,3.95635
-0.00086075,-0.0718956,3.96298
-0.0008605,-0.075192,3.96629
-0.00086025,-0.0718956,3.97292
-0.00086,-0.0784884,3.97624
-0.00085975,-0.075192,3.98618
-0.0008595,-0.075192,3.99613
-0.00085925,-0.075192,3.99944
-0.000859,-0.0784884,4.00276
-0.00085875,-0.0718956,4.00939
-0.0008585,-0.0685992,4.00939
-0.00085825,-0.0718956,4.00939
-0.000858,-0.0718956,4.01933
-0.00085775,-0.075192,4.02928
-0.0008575,-0.075192,4.03259
-0.00085725,-0.075192,4.03922
-0.000857,-0.075192,4.04917
-0.00085675,-0.075192,4.05248
-0.0008565,-0.0784884,4.06574
-0.00085625,-0.075192,4.07237
-0.000856,-0.075192,4.07569
-0.00085575,-0.0718956,4.08895
-0.0008555,-0.0685992,4.09557
-0.00085525,-0.0653028,4.09557
-0.000855,-0.0718956,4.09557
-0.00085475,-0.075192,4.09889
-0.0008545,-0.0685992,4.1022
-0.00085425,-0.0718956,4.1022
-0.000854,-0.075192,4.11215
-0.00085375,-0.075192,4.11215
