Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
72.709399225866349,-5.0723371662054912,-36.087213486306325
73.382847568049868,-4.9492217240989147,-36.465251411761074
74.062533517398549,-4.8091729124801068,-36.873979682989159
74.748514847821284,-4.6689939191859029,-37.298493951283604
75.440849868339953,-4.5540260488750475,-37.869954639448679
76.139597428045676,-4.4119295851894815,-38.573107458824609
76.844816921101213,-4.2653325543957674,-38.528475558367404
77.556568291789148,-4.1413024333690913,-39.101083584292269
78.274912039607685,-4.0151928552457399,-39.649147977092468
78.99990922441286,-3.8890657453208521,-39.944644380075715
79.731621471608776,-3.7633003290460154,-40.54141399794571
80.470110977385858,-3.6475453187935543,-41.011603542128711
81.215440514007312,-3.5029950700482715,-41.588047693699252
81.96767343514523,-3.3549249629413898,-41.827756261879472
82.726873681265474,-3.2837152996919587,-42.506127287921089
83.493105785062696,-3.1414682253117574,-42.994055886694241
84.26643487694578,-2.9878744274962581,-43.313794797364835
85.046926690573642,-2.9060028872321331,-43.427308253107881
85.834647568443145,-2.7353049916203789,-44.034309326531215
86.629664467527959,-2.6101222396203063,-44.708990341757627
87.432044964970046,-2.4531618157713178,-44.518832958501548
88.241857263823803,-2.4080684797835685,-45.586944491628699
89.05917019885311,-2.236020683478805,-45.500836992425519
89.884053242382848,-2.1169379276756701,-46.599195208340973
90.716576510203723,-2.0146995758756829,-46.146827962600312
91.556810767532326,-1.8414304524953906,-46.798292653069879
92.404827435026263,-1.7184227197912849,-47.799215948886655
93.260698594854617,-1.6433342289545492,-47.511014293642091
94.124496996825627,-1.4865632120366574,-48.707203974674087
94.996296064570004,-1.3694697466026438,-48.391950730404005
95.876169901782148,-1.2440607331402527,-49.003539712553717
96.764193298519146,-1.1708851729711698,-50.269735623352602
97.660441737557605,-1.0082016384532186,-50.830386273819414
98.564991400810257,-0.96788675872743513,-51.094682040675849
99.477919175801262,-0.98057728516847076,-50.912579454301152
100.39930266220159,-0.64077234688994011,-51.357120444975266
101.32922017842536,-0.65791064458009063,-52.27178380299388
102.26775076828652,-0.42094079057065947,-52.962650804567097
103.21497420771816,-0.45466989685822462,-52.456499088915983
104.17097101155319,-0.23322039607881731,-52.820633810938467
105.13582244036839,-0.23673728261509178,-53.583811990458805
106.10961050739149,-0.051241031168647755,-54.710146507874832
107.09241798547214,0.12583263201858003,-54.75903180765215
108.0843284141183,0.14501969942628232,-54.793458120540869
109.08542610659673,0.39331177272703088,-55.192822752796332
110.09579615709934,0.45306775838300728,-55.550933327675601
111.11552444797756,0.56771027984688316,-56.738270706871432
112.14469765704065,0.64544867074695966,-57.11200482975714
113.18340326492485,0.79653097931452943,-56.892511037305184
114.2317295625287,0.82294475998887573,-57.689681064917096
115.28976565851747,1.0404887700257164,-58.316894268061198
116.3576014868987,1.0808001038981017,-58.357311214059763
117.4353278146651,1.1847221447749539,-59.092834055282786
118.52303624951105,1.3134074516306216,-59.542193833611407
119.62081924761888,1.4028719415705695,-59.780853394500504
120.72877012151727,1.5645900103708605,-60.237963314168539
121.84698304801424,1.6271820386953928,-60.646564477006976
122.97555307620046,1.69939803240748,-61.131501291356187
124.11457613553002,1.8293833671177042,-61.879227660604073
125.26414904397384,1.9237995467303342,-62.204501852851294
126.42436951624909,2.1391918833191177,-62.194671929342405
127.59533617212566,2.0467298561877296,-62.818407490249449
128.7771485448084,2.3363066807573873,-62.469382525455586
129.96990708939776,2.387739410356323,-64.893747763395169
131.1737131914287,2.6676509923186442,-64.932835309426409
132.38866917548788,2.3463806079399734,-63.273475055189508
133.6148783139123,2.5548015065208922,-62.985225700547424
134.85244483556684,2.6794460407312353,-63.225507327962781
136.10147393470413,2.5520954138943228,-64.735441960312926
137.36207177990613,2.8498718162674006,-68.227492914456249
138.63434552310815,2.8525705865625737,-64.302139381974271
139.9184033087075,2.8407015905460895,-65.302246650554636
141.21435428275547,2.8948394739660612,-67.358726175940532
142.52230860223492,3.3276167009611206,-70.301500401720006
